25000,235.084,-450.134,31.785
50000,450.962,-444.299,34.325
75000,663.274,-450.674,33.158
100000,878.044,-451.884,37.912
125000,1092.308,-427.048,39.860
150000,1306.553,-440.903,40.596
175000,1521.789,-437.124,37.796
200000,1735.687,-442.298,45.227
225000,1950.348,-432.771,41.557
250000,2163.220,-419.075,43.733
275000,2376.497,-413.505,50.051
300000,2587.357,-411.399,46.963
325000,2798.482,-393.638,51.464
350000,3010.141,-385.909,70.801
375000,3219.945,-378.286,72.689
400000,3431.475,-375.161,74.654
425000,3644.169,-363.348,83.905
450000,3856.552,-355.101,81.896
475000,4069.834,-364.554,72.654
500000,4281.382,-339.827,94.104
525000,4493.398,-337.107,108.182
550000,4706.563,-362.957,78.516
575000,4919.665,-328.747,180.601
600000,5133.394,-330.263,116.201
625000,5346.541,-345.457,148.728
650000,5559.711,-334.756,133.764
675000,5771.354,-363.368,118.697
700000,5984.885,-341.057,139.092
725000,6200.116,-314.937,111.827
750000,6414.328,-331.981,109.627
775000,6629.218,-317.684,108.301
800000,6844.533,-325.053,85.122
825000,7058.861,-317.459,183.299
850000,7273.428,-327.133,142.672
875000,7485.980,-303.629,237.242
900000,7700.108,-323.634,201.586
925000,7912.567,-331.018,165.415
950000,8123.545,-273.593,420.274
975000,8334.615,-310.322,305.070
1000000,8548.210,-303.324,260.352
1025000,8759.591,-285.166,360.725
1050000,8971.923,-285.903,341.300
1075000,9182.921,-283.830,362.807
1100000,9397.242,-283.434,184.397
1125000,9618.501,-297.730,183.008
1150000,9829.845,-282.462,359.274
1175000,10043.404,-278.519,270.870
1200000,10254.548,-255.758,392.847
1225000,10467.628,-317.985,193.804
1250000,10681.638,-317.090,153.983
1275000,10892.946,-268.533,328.887
1300000,11105.762,-287.473,336.512
1325000,11317.691,-263.791,346.979
1350000,11531.099,-295.365,210.394
1375000,11742.951,-322.566,118.604
1400000,11955.573,-298.399,202.785
1425000,12167.383,-247.062,386.238
1450000,12379.123,-285.270,257.967
1475000,12592.387,-275.031,320.158
1500000,12803.600,-275.633,432.821
1525000,13014.731,-257.418,442.453
1550000,13225.664,-243.556,477.180
1575000,13440.819,-282.026,156.365
1600000,13654.627,-308.776,121.310
1625000,13867.382,-310.878,196.979
1650000,14080.080,-296.060,174.858
1675000,14294.925,-287.288,246.087
1700000,14508.514,-292.810,178.144
1725000,14720.761,-237.140,421.908
1750000,14932.166,-273.761,339.527
1775000,15143.755,-244.986,377.677
1800000,15356.025,-289.531,254.018
1825000,15570.934,-294.141,166.608
1850000,15782.890,-232.007,397.176
1875000,15994.602,-244.256,367.864
1900000,16206.510,-254.458,330.964
1925000,16417.490,-250.949,547.349
1950000,16631.232,-256.758,318.150
1975000,16842.449,-237.361,342.802
2000000,17055.544,-262.523,461.017
2025000,17266.923,-228.201,478.113
2050000,17481.533,-266.796,406.022
2075000,17691.339,-230.414,487.582
2100000,17903.103,-225.831,508.691
2125000,18116.440,-256.307,250.283
2150000,18330.749,-226.639,435.219
2175000,18543.928,-223.241,496.265
2200000,18756.313,-256.388,335.152
2225000,18968.996,-236.199,367.785
2250000,19180.553,-234.682,414.229
2275000,19393.962,-241.261,438.350
2300000,19607.136,-256.120,340.207
2325000,19818.414,-242.963,436.525
2350000,20031.714,-306.750,275.122
2375000,20242.093,-276.417,395.570
2400000,20454.780,-258.706,394.129
2425000,20669.300,-302.903,92.533
2450000,20879.892,-237.166,428.512
2475000,21094.660,-273.477,177.098
2500000,21306.721,-194.748,488.957
2525000,21518.426,-240.101,426.489
2550000,21730.264,-217.505,498.161
2575000,21942.698,-233.383,516.433
2600000,22157.132,-273.961,213.082
2625000,22370.661,-272.105,193.604
2650000,22584.942,-275.464,177.035
2675000,22800.219,-265.668,158.872
2700000,23011.923,-239.779,448.322
2725000,23223.468,-276.862,315.051
